,loc_id,num_user,mean,median,var,vote1,vote2,vote3,vote4,vote5
0,201,5,3.0,3,0.0,0,0,5,0,0
1,202,5,3.4,4,0.64,0,1,1,3,0
2,203,5,2.2,2,0.15999999999999998,0,4,1,0,0
3,205,5,3.4,4,0.64,0,1,1,3,0
4,206,5,3.0,2,1.6,0,3,0,1,1
5,208,5,3.0,3,0.4,0,1,3,1,0
6,209,5,3.8,4,0.5599999999999999,0,0,2,2,1
7,210,5,3.0,3,0.4,0,1,3,1,0
8,212,5,2.4,2,1.0400000000000003,1,2,1,1,0
9,213,5,3.6,4,0.24,0,0,2,3,0
10,215,5,3.6,4,0.24,0,0,2,3,0
11,216,5,2.4,2,0.24,0,3,2,0,0
12,217,5,1.8,2,0.16,1,4,0,0,0
13,220,5,1.6,1,0.64,3,1,1,0,0
14,221,5,2.2,2,0.15999999999999998,0,4,1,0,0
15,222,5,2.6,3,0.24,0,2,3,0,0
16,223,5,2.8,3,0.5599999999999999,0,2,2,1,0
17,224,5,2.4,2,0.6400000000000002,0,4,0,1,0
18,225,5,2.6,3,0.24,0,2,3,0,0
19,226,5,3.4,4,1.4400000000000002,0,2,0,2,1
20,9999,35,4.171428571428572,4,0.6563265306122449,0,2,3,17,13
21,228,5,2.4,2,1.0400000000000003,1,2,1,1,0
22,229,5,3.8,4,0.5599999999999999,0,0,2,2,1
23,251,5,3.6,4,1.04,0,1,1,2,1
24,252,5,3.0,3,0.8,0,2,1,2,0
25,253,5,3.4,4,0.64,0,1,1,3,0
26,271,5,3.0,3,2.0,1,1,1,1,1
27,272,5,2.2,2,0.15999999999999998,0,4,1,0,0
28,273,5,3.0,4,1.6,1,1,0,3,0
29,274,5,4.4,4,0.24000000000000005,0,0,0,3,2
30,277,5,3.2,3,1.3599999999999999,0,2,1,1,1
31,304,5,3.6,4,1.04,0,1,1,2,1
32,307,5,3.0,3,0.8,0,2,1,2,0
33,308,5,2.0,2,0.0,0,5,0,0,0
34,310,5,2.0,2,0.0,0,5,0,0,0
35,311,5,3.0,3,0.4,0,1,3,1,0
36,313,5,3.2,3,0.5599999999999999,0,1,2,2,0
37,314,5,3.6,4,1.04,0,1,1,2,1
38,315,5,3.8,4,1.3599999999999999,0,1,1,1,2
39,319,5,3.6,4,1.8400000000000003,1,0,0,3,1
40,320,5,2.8,3,1.3599999999999999,1,1,1,2,0
41,2,5,2.6,2,0.64,0,3,1,1,0
42,6,5,2.8,3,0.5599999999999999,0,2,2,1,0
43,8,5,3.6,4,0.24,0,0,2,3,0
44,13,5,2.8,3,0.5599999999999999,0,2,2,1,0
45,15,5,2.2,2,0.96,1,3,0,1,0
46,21,5,2.4,2,1.04,1,2,1,1,0
47,25,5,3.6,4,0.64,0,1,0,4,0
48,26,5,4.6,5,0.24,0,0,0,2,3
49,28,5,2.8,2,0.96,0,3,0,2,0
50,30,5,4.2,4,0.15999999999999998,0,0,0,4,1
51,34,5,2.2,2,0.15999999999999998,0,4,1,0,0
52,35,5,4.0,4,0.8,0,0,2,1,2
53,40,5,2.4,2,0.64,0,4,0,1,0
54,43,5,2.6,2,0.64,0,3,1,1,0
55,51,5,2.0,2,0.0,0,5,0,0,0
56,52,5,2.8,2,0.96,0,3,0,2,0
57,61,5,4.4,4,0.24000000000000005,0,0,0,3,2
58,64,5,3.0,3,0.8,0,2,1,2,0
59,75,5,3.8,4,0.5599999999999999,0,0,2,2,1
60,93,5,4.4,4,0.24000000000000005,0,0,0,3,2
61,402,5,2.2,2,0.15999999999999998,0,4,1,0,0
62,405,5,3.0,3,0.4,0,1,3,1,0
63,407,5,3.8,4,0.15999999999999998,0,0,1,4,0
64,409,5,3.2,3,0.5599999999999999,0,1,2,2,0
65,414,5,2.6,3,0.24,0,2,3,0,0
66,415,5,2.2,2,0.15999999999999998,0,4,1,0,0
67,416,5,2.2,2,0.5599999999999999,1,2,2,0,0
68,418,5,3.0,3,0.0,0,0,5,0,0
69,421,5,2.8,3,0.5599999999999999,0,2,2,1,0
70,422,5,2.0,2,0.4,1,3,1,0,0
71,425,5,2.6,3,0.24,0,2,3,0,0
72,426,5,4.2,4,0.5599999999999999,0,0,1,2,2
73,438,5,3.4,3,1.0400000000000003,0,1,2,1,1
74,427,5,3.2,3,0.5599999999999999,0,1,2,2,0
75,439,5,3.0,2,1.6,0,3,0,1,1
76,443,5,4.2,4,0.5599999999999999,0,0,1,2,2
77,428,5,1.6,2,0.24,2,3,0,0,0
78,444,5,3.0,3,0.8,0,2,1,2,0
79,429,5,2.0,2,0.0,0,5,0,0,0
80,448,5,2.2,2,1.3599999999999999,2,1,1,1,0
81,449,5,3.6,4,2.2399999999999998,1,0,1,1,2
82,430,5,2.0,2,0.4,1,3,1,0,0
83,453,5,4.2,4,0.15999999999999998,0,0,0,4,1
84,432,5,3.8,4,0.15999999999999998,0,0,1,4,0
85,454,5,1.8,2,0.56,2,2,1,0,0
86,459,5,2.2,2,0.96,1,3,0,1,0
87,465,5,2.0,2,0.4,1,3,1,0,0
88,434,5,3.6,4,0.24,0,0,2,3,0
89,466,5,2.0,2,0.4,1,3,1,0,0
90,436,5,3.8,4,0.15999999999999998,0,0,1,4,0
91,467,5,2.6,2,1.4400000000000002,1,2,0,2,0
92,437,5,4.0,4,0.0,0,0,0,5,0
93,472,5,2.2,2,1.3599999999999999,2,1,1,1,0
94,473,5,2.4,2,0.64,0,4,0,1,0
95,476,5,1.8,2,0.56,2,2,1,0,0
96,477,5,2.0,1,2.4,3,1,0,0,1
97,479,5,3.4,3,0.24,0,0,3,2,0
98,481,5,2.4,2,0.64,0,4,0,1,0
99,484,5,2.2,2,1.3599999999999999,2,1,1,1,0
100,485,5,2.8,3,2.56,2,0,1,1,1
101,322,5,1.8,2,0.56,2,2,1,0,0
102,323,5,3.2,3,0.5599999999999999,0,1,2,2,0
103,324,5,1.8,2,0.16,1,4,0,0,0
104,326,5,2.4,2,0.24,0,3,2,0,0
105,328,5,3.6,3,0.64,0,0,3,1,1
106,329,5,2.0,2,0.0,0,5,0,0,0
107,330,5,1.6,2,0.24,2,3,0,0,0
108,331,5,2.6,3,0.24,0,2,3,0,0
109,333,5,3.0,3,0.8,0,2,1,2,0
110,334,5,4.2,4,0.5599999999999999,0,0,1,2,2
111,335,5,3.4,3,0.24,0,0,3,2,0
112,336,5,3.6,4,0.24,0,0,2,3,0
113,337,5,2.0,2,0.0,0,5,0,0,0
114,338,5,2.6,3,0.24,0,2,3,0,0
115,341,5,3.4,3,1.04,0,1,2,1,1
116,342,5,2.4,2,0.64,0,4,0,1,0
117,343,5,3.2,4,0.96,0,2,0,3,0
118,344,5,3.6,4,0.24,0,0,2,3,0
119,345,5,3.8,4,0.96,0,1,0,3,1
120,346,5,2.0,2,0.4,1,3,1,0,0
121,492,5,3.0,3,0.8,0,2,1,2,0
122,496,5,3.0,3,0.8,0,2,1,2,0
123,497,5,3.2,3,0.5599999999999999,0,1,2,2,0
124,499,5,2.2,2,0.96,1,3,0,1,0
125,500,5,3.0,3,0.8,0,2,1,2,0
126,503,5,3.4,3,1.04,0,1,2,1,1
127,507,5,4.6,5,0.24000000000000005,0,0,0,2,3
128,508,5,2.4,2,0.6400000000000002,0,4,0,1,0
129,511,5,3.4,4,0.64,0,1,1,3,0
130,512,5,3.2,3,0.5599999999999999,0,1,2,2,0
131,514,5,3.8,4,0.5599999999999999,0,0,2,2,1
132,515,5,2.0,2,0.4,1,3,1,0,0
133,516,5,4.0,4,0.4,0,0,1,3,1
134,517,5,3.0,3,0.8,0,2,1,2,0
135,520,5,4.0,4,0.4,0,0,1,3,1
136,523,5,2.2,2,0.5599999999999999,1,2,2,0,0
137,527,5,1.8,2,0.56,2,2,1,0,0
138,529,5,4.6,5,0.24,0,0,0,2,3
139,530,5,2.6,2,0.64,0,3,1,1,0
140,533,5,3.0,3,0.8,0,2,1,2,0
